,test,train
2,0.5018050541516246,0.5155038759689923
50,0.6191335740072202,0.710077519379845
100,0.7328519855595668,0.8589147286821706
150,0.8574007220216606,0.937984496124031
200,0.9386281588447654,0.9875968992248062
250,0.9386281588447654,0.9875968992248062
300,0.9566787003610109,0.9930232558139535
350,0.9819494584837545,0.9992248062015504
400,0.9855595667870036,1.0
450,0.9855595667870036,1.0
500,0.9855595667870036,1.0
550,0.9855595667870036,1.0
600,0.9855595667870036,1.0
650,0.9855595667870036,1.0
700,0.9855595667870036,1.0
750,0.9855595667870036,1.0
800,0.9855595667870036,1.0
850,0.9855595667870036,1.0
900,0.9855595667870036,1.0
950,0.9855595667870036,1.0
1000,0.9855595667870036,1.0
1050,0.9855595667870036,1.0
1100,0.9855595667870036,1.0
1150,0.9855595667870036,1.0
